"Prihodi in prenoèitve turistov po: STATISTIÈNA REGIJA, SKUPINE"
"NASTANITVENIH OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ"
"Pomurska"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2010";269044
" ";" ";" ";"2011";252062
" ";" ";" ";"2012";241077
" ";" ";" ";"2013";232172
" ";" ";" ";"2014";237530
" ";" ";" ";"2015";243894
" ";" ";"TUJI"
" ";" ";" ";"2008";118521
" ";" ";" ";"2009";115043
" ";" ";" ";"2010";119611
" ";" ";" ";"2011";135629
" ";" ";" ";"2012";162549
" ";" ";" ";"2013";172218
" ";" ";" ";"2014";189547
" ";" ";" ";"2015";208970

"Vir: Statistièni urad Republike Slovenije "
" "
"Letni podatki o obsegu turistiènega prometa niso enaki seštevku "
"meseènih podatkov, saj vkljuèujejo tudi turistiène nastanitvene "
"objekte, ki razpolagajo z manj kot 10 stalnimi ležišèi. Glej "
"Metodološka pojasnila. "

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=7779 target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in "
"pojasnila), raven NUTS 3. "
"Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni "
"regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za "
"opombe (zvezdica). V opombah je na zaèetku naveden datum, s katerim "
"je opisana teritorialna sprememba upoštevana pri teritorialnem "
"razvršèanju enot za statistiène namene.  "
" "

"Veè o razvrstitvi objektov v posamezne skupine nastanitvenih objektov "
"v Metodoloških pojasnilih."

